Cantonese,Part of Speech,Group,English,Pronunciation
感激,Adjective,Feelings,grateful,gam2gik1
內疚,Adjective,Feelings,guilty,noi6gau3
絕望,Adjective,Feelings,hopeless,zyut6mong6
心情唔好,Adjective,Feelings,in a bad mood,sam1cing4
冷漠,Adjective,Feelings,indifferent,laang5mok6
妒忌,Verb,Feelings,to jealous,dou3gei6
緊張,Adjective,Feelings,nervous,gan2zoeng1
驕傲,Adjective,Feelings,proud,giu1ngou6
傷心,Adjective,Feelings,sad,soeng1sam1
震驚,Adjective,Feelings,shocked,zan3ging1
眼瞓,Adjective,Feelings,sleepy,ngaan5fan3
驚訝,Adjective,Feelings,surprised,ging1ngaa6
攰,Adjective,Feelings,tired,gui6
難受,Adjective,Feelings,uncomfortable,naan4sau6
我愛你,Phrase,Feelings,I love you,ngo5
擔心,Verb,Feelings,to worry,daam1sam1
開心,Adjective,Feelings,"happy, glad",hoi1sam1
嘅,Grammatical Particle,Final Particle,asserting doubt,ge2
啦,Grammatical Particle,Final Particle,for request or reluctant acceptance,laa1
喇,Grammatical Particle,Final Particle,"now, already (for changing situation)",laa3
呀,Grammatical Particle,Final Particle,softener,aa3
嘅,Grammatical Particle,Final Particle,asserting doubt,ge2
呀,Grammatical Particle,Final Particle,softener,aa3
呢,Grammatical Particle,Final Particle,"for questions, ""how about""",ne1
啦,Grammatical Particle,Final Particle,for request or reluctant acceptance,laa1
喇,Grammatical Particle,Final Particle,"now, already (for changing situation)",laa3
咩,Grammatical Particle,Final Particle,a general question participle,me1
喎,Grammatical Particle,Final Particle,for purpose of reminding,wo3wo4
囉,Grammatical Particle,Final Particle,for disagreement or changed mood.,lo1
飲,Verb,Food and drink,drink,jam2
食,Verb,Food and drink,eat,sik6
飽 ,Adjective,Food and drink,full,baau2
肚餓 ,Adjective,Food and drink,hungry,tou5ngo6
口渴,Adjective,Food and drink,thirsty ,hau2hot3
燶,Adjective,Food and drink,burned,nung6
好食,Adjective,Food and drink,"tasty, delicious, yummy",hou2sik6
新鮮,Adjective,Food and drink,fresh,san1sin1
變壞,Adjective,Food and drink,"rotten, have gone bad",bin3waai6
好,Adjective,Food and drink,good,hou2
見到都流口水,Phrase,Food and drink,mouthwatering,gin3dou2
生,Adjective,Food and drink,raw,saang1
香,Adjective,Food and drink,smells good,hoeng1
好味,Adjective,Food and drink,"tasty, delicious, yummy",hou2mei6
素,Adjective,Food and drink,vegetarian,sou3
食齋 ,Verb,Food and drink,"to be vegetarian, to eat vegetarian food",sik6zaai1
酒,Noun,Food and drink,alcohol (beverage),zau2
啤酒,Noun,Food and drink,beer,be1zau2
咖啡因,Noun,Food and drink,caffeine,gaa3fe1jan1
咖啡,Noun,Food and drink,coffee,gaa3fe1
熱巧克力,Noun,Food and drink,hot chocolate,jit6haau2hak1lik6
汁,Noun,Food and drink,juice,zap1
奶,Noun,Food and drink,milk,naai5
奶昔,Noun,Food and drink,milkshake,naai5sik1
豆漿,Noun,Food and drink,soy milk,dau6zoeng1
紅酒,Noun,Food and drink,red wine,hung4zau2
白酒,Noun,Food and drink,white wine,baak6zau2
茶,Noun,Food and drink,tea,caa4
紅茶,Noun,Food and drink,black tea,hung4caa4
綠茶,Noun,Food and drink,green tea,luk6caa4
涼茶,Noun,Food and drink,herbal tea,loeng4caa4
烏龍茶,Noun,Food and drink,Oolong tea,wu1lung2caa4
奶茶,Noun,Food and drink,milk tea,naai5caa4
珍珠奶茶,Noun,Food and drink,"boba tea, bubble milk tea",zan1zyu1naai5caa4
汽水,Noun,Food and drink,"soda, soft drink, pop",hei3seoi2
可樂,Noun,Food and drink,coke,ho2lok6
可口可樂 ,Noun,Food and drink,Coca-Cola,ho2hau2ho2lok6
檸樂,Noun,Food and drink,lemon Coke,ning2lok6
百事,Noun,Food and drink,Pepsi,baak3si6
芬達,Noun,Food and drink,Fanta,fan1daat6
七喜,Noun,Food and drink,7 Up,cat1hei2
雪碧,Noun,Food and drink,Sprite,syut3bik1
早餐,Noun,Food and drink,breakfast,zou2caan1
晚餐,Noun,Food and drink,"dinner, supper",maan5caan1
宵夜,Noun,Food and drink,"late night meal, bedtime snacks",siu1je2
午餐,Noun,Food and drink,lunch,ng5caan1
食午餐,Verb,Food and drink,to have lunch,sik6
點心,Noun,Food and drink,dim sum,dim2sam1
沙律,Noun,Food and drink,salad,saa1leot2
湯,Noun,Food and drink,soup,soeng1
壽司,Noun,Food and drink,sushi,sau6si1
生果,Noun,Food and drink,fruit,saang1gwo2
蘋果,Noun,Food and drink,apple,ping4gwo2
香蕉,Noun,Food and drink,banana,hoeng1ziu1
藍莓,Noun,Food and drink,blueberry,laam4mui2
哈蜜瓜,Noun,Food and drink,cantaloupe,haa1mat6gwaa1
車厘子,Noun,Food and drink,cherry,ce1lei4zi2
榴蓮,Noun,Food and drink,durian,lau4lin4
提子,Noun,Food and drink,grapes,tai4zi2
蜜瓜,Noun,Food and drink,honeydew melon,mat6gwaa1
奇異果,Noun,Food and drink,kiwi,kei4ji6gwo2
檸檬,Noun,Food and drink,lemon,ning4mung1
青檸,Noun,Food and drink,lime,ceng1ning2
龍眼,Noun,Food and drink,longan,lung4ngaan2
荔枝,Noun,Food and drink,lychee,lai6zi1
芒果,Noun,Food and drink,mango,mong1gwo2
密瓜,Noun,Food and drink,melon,mak6gwaa1
橙,Noun,Food and drink,orange,caang2
木瓜,Noun,Food and drink,papaya,muk6gwaa1
桃,Noun,Food and drink,peach,tou4
梨,Noun,Food and drink,pear,lei2
菠蘿,Noun,Food and drink,pineapple,bo1lo4
士多啤厘,Noun,Food and drink,strawberry,si6do1
西瓜,Noun,Food and drink,watermelon,sai1gwaa1
菜,Noun,Food and drink,vegetable,coi3
蘆筍,Noun,Food and drink,asparagus,lou4seon2
豆,Noun,Food and drink,beans,dau6
白菜,Noun,Food and drink,bok choy,baak6coi3
西蘭花,Noun,Food and drink,broccoli,sai1laan4faa1
椰菜,Noun,Food and drink,cabbage,je4coi3
紅蘿蔔,Noun,Food and drink,carrot,hung4lo4baak6
椰菜花,Noun,Food and drink,cauliflower,je4coi3faa1
西芹,Noun,Food and drink,celery,sai1kan2
粟米,Noun,Food and drink,corn,suk1mai5
青瓜,Noun,Food and drink,cucumber,ceng1gwaa1
茄子,Noun,Food and drink,eggplant,ke2zi2
蔥,Noun,Food and drink,green onion,cung1
生菜,Noun,Food and drink,lettuce,saang1coi3
蘑菇,Noun,Food and drink,mushroom,mo4gu1
橄欖油,Noun,Food and drink,olive oil,gaam3laam5jau4
洋蔥,Noun,Food and drink,onion,joeng4cung1
薯仔,Noun,Food and drink,potato,syu4zai2
南瓜,Noun,Food and drink,pumpkin,naam4gwaa1
紫菜,Noun,Food and drink,seaweed (as food),zi2coi3
菠菜,Noun,Food and drink,spinach,bo1coi3
番薯,Noun,Food and drink,sweet potato,faan1syu2
番茄,Noun,Food and drink,tomato,faan1ke2
白蘿蔔,Noun,Food and drink,turnip,baak6lo4baak6
淮山,Noun,Food and drink,yam,waai4saan1
米,Noun,Food and drink,rice (raw),mai5
飯,Noun,Food and drink,rice (cooked),faan6
炒飯,Noun,Food and drink,fried rice,caau2faan6
麵包,Noun,Food and drink,bread,min6baau1
麵粉,Noun,Food and drink,flour,min6
麵,Noun,Food and drink,noodles,min6
炒麵,Noun,Food and drink,fried noodles,caau2
公仔麵,Noun,Food and drink,instant noodles,gung1zai2min6
米粉,Noun,Food and drink,rice noodles,mai5fan2
饅頭,Noun,Food and drink,steamed bun,maan4tau4
肉,Noun,Food and drink,meat,juk6
杏仁,Noun,Food and drink,almonds,hang6jan4
牛肉,Noun,Food and drink,beef,ngau4juk6
腰果,Noun,Food and drink,cashews,jiu1gwo2
鴨,Noun,Food and drink,duck,aap2
蛋,Noun,Food and drink,egg,daan2
果仁,Noun,Food and drink,nuts,gwo2jan4
花生,Noun,Food and drink,peanuts,faa1sang1
豬肉,Noun,Food and drink,pork,zyu1juk6
豆腐,Noun,Food and drink,tofu,dau6fu6
火雞,Noun,Food and drink,turkey,fo2gai1
核桃,Noun,Food and drink,walnuts,hat6tou4
魷魚,Noun,Food and drink,squid， calamari,jau4jyu2
鰻魚,Noun,Food and drink,eel,maan4jyu2
龍蝦,Noun,Food and drink,lobster,lung4haa1
三文魚,Noun,Food and drink,salmon,saam1man4jyu2
蝦,Noun,Food and drink,shrimp,haa1
吞拿魚,Noun,Food and drink,tuna,tan1naa4jyu2
烘焙,Noun,Food and drink,baking,hung1bui6
燒烤,Noun,Food and drink,barbecue,siu1haau1
水煮,Verb,Food and drink,to poach,seoi2zyu2
蒸,Verb,Food and drink,to steam cook,zing1
油炸,Verb,Food and drink,to deep fry,jau4zaa3
炒,Verb,Food and drink,"to stir fry, to sauté",caau2
燒,Verb,Food and drink,to grill,siu1
醃,Verb,Food and drink,to marinate,jip3
微波,Verb,Food and drink,to microwave,mei4bo1
焗,Verb,Food and drink,"to roast, to bake",guk6
煨,Verb,Food and drink,to simmer,wui1
煙薰,Verb,Food and drink,to smoke (cooking),jin1
燉 ,Verb,Food and drink,to stew,dan6
煎,Verb,Food and drink,to pan-fry,zin1
水,Noun,Food and drink,water,seoi2
雞,Noun,Food and drink,chicken,gai1
健康,Noun,Health and illness,health,gin6hong1
健康,Adjective,Health and illness,healthy,gin6hong1
病咗,Verb,Health and illness,to get sick,beng6
中醫,Noun,Health and illness,Chinese medicine,zung1ji1
診所,Noun,Health and illness,clinic,can2so2
醫院,Noun,Health and illness,hospital,ji1jyun2
打針,Verb,Health and illness,to inject (medication),daa2zam1
按摩,Verb,Health and illness,to massage,on3mo1
藥房,Noun,Health and illness,pharmacy,joek6fong4
維他命,Noun,Health and illness,vitamin,wai4taa1ming6
瑜伽,Noun,Health and illness,yoga,jyu4gaa1
疾病,Noun,Health and illness,disease,zat6beng6
過敏,Noun,Health and illness,allergies,gwo3man5
焦慮,Noun,Health and illness,anxiety,ziu1leoi6
哮喘,Noun,Health and illness,asthma,haau1cyun2
骨折,Noun,Health and illness,broken bone,gwat1zit3
瘀咗,Noun,Health and illness,bruise,jyu2
流血,Verb,Health and illness,to bleed,lau4hyut3
癌症,Noun,Health and illness,cancer,ngaam4zing3
感冒,Noun,Health and illness,cold,gam2mou6
便秘,Adjective,Health and illness,constipated,bin6
抽筋,Noun,Health and illness,cramps,cau1gan1
抑鬱症,Noun,Health and illness,depression,jik1wat1zing3
糖尿病,Noun,Health and illness,diabetes,tong4niu6beng6
肚痾,Verb,Health and illness,to have a diarrhea,tou5o1
甩骹,Verb,Health and illness,to have a dislocated join,lat1gaau3
頭暈,Adjective,Health and illness,dizzy,tau4wan4
發羊吊,Noun,Health and illness,epilepsy,faat3joeng4diu3
發燒,Noun,Health and illness,fever,faat3siu1
流感,Noun,Health and illness,flu,lau4gam2
頭痛,Noun,Health and illness,headache,tau4tung3
心臟病發作,Verb,Health and illness,to have a heart attack,sam1zong6beng6faat3
消化不良,Adjective,Health and illness,indigestion,siu1faa3bat1loeng4
失眠,Noun,Health and illness,insomnia,sat1min4
乳糖不耐症,Noun,Health and illness,lactose intolerant,jyu5tong4bat1noi6zing3
扭親,Verb,Health and illness,sprain,nau2
性病,Noun,Health and illness,STD,sing3beng6
中風,Verb,Health and illness,to have a stroke,zung3fung1
腫,Adjective,Health and illness,swollen,zung2
病毒,Noun,Health and illness,virus,beng6duk6
嘔,Verb,Health and illness,to vomit,au2
農曆新年,Noun,Holidays and celebrations,Lunar New Year,nung4lik6san1nin4
聖誕節,Noun,Holidays and celebrations,Christmas,sing3daan3zit3
聖誕樹,Noun,Holidays and celebrations,Christmas tree,sing3daan3syu6
復活節,Noun,Holidays and celebrations,Easter,fuk6wut6zit3
聖誕老人,Noun,Holidays and celebrations,Santa Claus,sing3daan3lou5jan4
樽,Noun,Kitchenware,bottle,zeon1
碗,Noun,Kitchenware,bowl,wun2
罐,Noun,Kitchenware,can,gun3
筷子,Noun,Kitchenware,chopsticks,faai3zi2
食譜,Noun,Kitchenware,cookbook,sik6pou2
杯,Noun,Kitchenware,cup,bui1
洗碗機,Noun,Kitchenware,dishwasher,sai2wun2gei1
叉,Noun,Kitchenware,fork,caa1
冰格,Noun,Kitchenware,freezer,bing1gaak3
煎pan,Noun,Kitchenware,frying pan,zin1pen1
玻璃杯,Noun,Kitchenware,glass (cup),bo1lei1bui1
刀,Noun,Kitchenware,knife,dou1
餐巾,Noun,Kitchenware,napkin,caan1gan1
雪櫃,Noun,Kitchenware,refridgerator,syut3gwai6
匙羹,Noun,Kitchenware,spoon,ci4gang1
枱布,Noun,Kitchenware,table cloth,toi2
茶壺,Noun,Kitchenware,teapot,caa4wu2
鑊,Noun,Kitchenware,wok,wok6
碟,Noun,Kitchenware,"dishes, plate",dip2
廣東話,Noun,Languages,Cantonese,gwong2dung1waa2
中文,Noun,Languages,Chinese,zung1man2
英文,Noun,Languages,English,jing1man2
地毯,Noun,Living room,"carpet, rug",dei6taam2
茶几,Noun,Living room,coffee table,caa4gei1
梳化,Noun,Living room,"couch, sofa",so1faa2
咕𠱸,Noun,Living room,cushion,gu1seon2
遙控,Noun,Living room,remote control,jiu4hung3
可以,Modal Verb,Modal Verb,"can, may, be allowed to",ho2ji5
會,Modal Verb,Modal Verb,will (do something),wui5
可以,Modal Verb,Modal Verb,"can, may, be allowed to",ho2 ji5
會,Modal Verb,Modal Verb,will (do something),wui5
得,Modal Verb,Modal Verb,can,dak1
唔會,Modal Verb,Modal Verb,will not (do something),m4wui5
應該,Modal Verb,Modal Verb,should,jing1goi1
錢,Noun,Money,money,cin2
幾錢,Question,Money,how much it cost,gei2
買,Verb,Money,to buy,maai5
散紙,Noun,Money,change (money),saan2zi2
平,Adjective,Money,cheap,peng4
貴,Adjective,Money,expensive,gwai3
電影,Noun,"Movies, TV, and Radio",movie,din6jing2
戲院,Noun,"Movies, TV, and Radio",cinema,hei3jyun2
字幕,Noun,"Movies, TV, and Radio",subtitles,zi6mok6
動作片,Noun,"Movies, TV, and Radio",action movie,dung6zok3pin2
動畫,Noun,"Movies, TV, and Radio",anime,dung6waa2
卡通片,Noun,"Movies, TV, and Radio",cartoon,kaa1tung1pin2
笑片,Noun,"Movies, TV, and Radio",comedy,siu3pin2
